week,day,occupancy
1,Monday,0.015107914
1,Tuesday,0.020143885
1,Wednesday,0.030035971
1,Thursday,0.023381295
1,Friday,0.024820144
1,Saturday,0.015107914
1,Sunday,0.006834532
2,Monday,-0.005035971
2,Tuesday,0.022302158
2,Wednesday,0.024640288
2,Thursday,0.014748201
2,Friday,0.025179856
2,Saturday,0.010251799
2,Sunday,0.034892086
3,Monday,-0.007913669
3,Tuesday,0.006294964
3,Wednesday,0.836330935
3,Thursday,0.788309353
3,Friday,0.817086331
3,Saturday,0.304496403
3,Sunday,0.004316547
4,Monday,0.018165468
4,Tuesday,0.809532374
4,Wednesday,0.924820144
4,Thursday,0.814028777
4,Friday,0.828597122
4,Saturday,0.352158273
4,Sunday,0.088489209
5,Monday,-0.007733813
5,Tuesday,0.811151079
5,Wednesday,0.897661871
5,Thursday,0.841726619
5,Friday,0.822482014
5,Saturday,0.284892086
5,Sunday,-0.016906475
6,Monday,-0.023561151
6,Tuesday,0.773021583
6,Wednesday,0.858992806
6,Thursday,0.842625899
6,Friday,0.838309353
6,Saturday,0.317985612
6,Sunday,-0.000359712
7,Monday,-0.019784173
7,Tuesday,0.773381295
7,Wednesday,0.803776978
7,Thursday,0.79442446
7,Friday,0.80323741
7,Saturday,0.275539568
7,Sunday,-0.023561151
8,Monday,-0.03705036
8,Tuesday,0.786151079
8,Wednesday,0.897482014
8,Thursday,0.854676259
8,Friday,0.833992806
8,Saturday,0.284532374
8,Sunday,0.035791367
9,Monday,0.039208633
9,Tuesday,0.89442446
9,Wednesday,0.978956835
9,Thursday,0.917086331
9,Friday,0.894064748
9,Saturday,0.300899281
9,Sunday,0.002697842
10,Monday,-0.006115108
10,Tuesday,1
10,Wednesday,0.925539568
10,Thursday,0.941906475
10,Friday,0.759532374
10,Saturday,0.152338129
10,Sunday,0.027697842
11,Monday,0.008273381
11,Tuesday,0.034352518
11,Wednesday,0.037769784
11,Thursday,0.026079137
11,Friday,0.01528777
11,Saturday,0.010791367
11,Sunday,-0.007374101
12,Monday,-0.011690647
12,Tuesday,0.878057554
12,Wednesday,0.84676259
12,Thursday,0.841726619
12,Friday,0.760071942
12,Saturday,0.361870504
12,Sunday,0.016007194
13,Monday,0.004316547
13,Tuesday,0.767805755
13,Wednesday,0.899460432
13,Thursday,0.76618705
13,Friday,0.78794964
13,Saturday,0.414388489
13,Sunday,0.080755396
14,Monday,0.03147482
14,Tuesday,0.854496403
14,Wednesday,0.902697842
14,Thursday,0.848920863
14,Friday,0.833992806
14,Saturday,0.407733813
14,Sunday,0.787769784
15,Monday,0.077517986
15,Tuesday,0.820323741
15,Wednesday,0.923381295
15,Thursday,0.773741007
15,Friday,0.788309353
15,Saturday,0.260431655
15,Sunday,0.028417266
16,Monday,0.020143885
16,Tuesday,0.678417266
16,Wednesday,0.953057554
16,Thursday,0.81294964
16,Friday,0.728057554
16,Saturday,0.263129496
16,Sunday,0.169964029
17,Monday,-0.050179856
17,Tuesday,0.652158273
17,Wednesday,0.749460432
17,Thursday,0.580755396
17,Friday,0.716906475
17,Saturday,0.28794964
17,Sunday,0.085611511
18,Monday,0.014568345
18,Tuesday,0.64442446
18,Wednesday,0.741726619
18,Thursday,0.662769784
18,Friday,0.672482014
18,Saturday,0.263669065
18,Sunday,0.009352518
19,Monday,0.003776978
19,Tuesday,0.228776978
19,Wednesday,0.239568345
19,Thursday,0.096402878
19,Friday,0.147841727
19,Saturday,0.23381295
19,Sunday,0.341546763
20,Monday,0.000359712
20,Tuesday,0.062230216
20,Wednesday,0.167446043
20,Thursday,0.196942446
20,Friday,0.166366906
20,Saturday,0.135791367
20,Sunday,0.06618705
