YEAR;MONTH;DAY;STID;TMAX;TMIN;HTMX;WCMN;RAIN
2017;1;1;NRMN;61.57;31.6;-996;26.96;0
2017;1;2;NRMN;69.98;40.29;-996;41.48;0.01
2017;1;3;NRMN;45.85;27.1;-996;15.3;0
2017;1;4;NRMN;36.25;20.72;-996;9.19;0
2017;1;5;NRMN;25.53;16.05;-996;0.89;0
2017;1;6;NRMN;17.81;3.4;-996;-3.72;0
2017;1;7;NRMN;34.49;-2.2;-996;-8.22;0.07
2017;1;8;NRMN;45.17;19.73;-996;10.97;0.02
2017;1;9;NRMN;59.4;30.93;-996;22.21;0
2017;1;10;NRMN;67.93;36.99;-996;34.1;0
2017;1;11;NRMN;78.75;36.06;-996;32.21;0
2017;1;12;NRMN;66.2;24.85;-996;12.53;0
2017;1;13;NRMN;35.52;28.07;-996;17.11;0
2017;1;14;NRMN;33.04;28.89;-996;19.07;0.11
2017;1;15;NRMN;47.84;32.24;-996;25.72;1.59
2017;1;16;NRMN;50.9;35.11;-996;29.13;0.04
2017;1;17;NRMN;54.32;32.25;-996;26.65;0
2017;1;18;NRMN;55.85;34;-996;34.2;0
2017;1;19;NRMN;59.04;45.37;-996;39.52;0
2017;1;20;NRMN;70.25;39.85;-996;33.03;0
2017;1;21;NRMN;66.2;34.04;-996;33.53;0
2017;1;22;NRMN;58.73;37.27;-996;32.53;0
2017;1;23;NRMN;61.68;25.64;-996;23.77;0
2017;1;24;NRMN;74.79;43.34;-996;36.54;0
2017;1;25;NRMN;45.49;29.94;-996;22.82;0
2017;1;26;NRMN;44.97;22.53;-996;16.19;0
2017;1;27;NRMN;49.41;24.14;-996;15.9;0
2017;1;28;NRMN;53.73;26.03;-996;19.4;0
2017;1;29;NRMN;66.63;35.16;-996;26.51;0
2017;1;30;NRMN;75.43;30.66;-996;28.46;0
2017;1;31;NRMN;72.88;34.91;-996;31.17;0
2017;2;1;NRMN;57.94;35.69;-996;28.6;0
2017;2;2;NRMN;38.11;29.67;-996;16.86;0
2017;2;3;NRMN;44.53;25.07;-996;16.39;0
2017;2;4;NRMN;53.6;28.62;-996;23.05;0
2017;2;5;NRMN;59.18;38.34;-996;33.75;0.01
2017;2;6;NRMN;77.5;47.39;-996;44.57;0.01
2017;2;7;NRMN;74.52;45.47;-996;41.8;0
2017;2;8;NRMN;56.64;29.46;-996;20.59;0
2017;2;9;NRMN;56.48;24.04;-996;16.46;0
