week,day,occupancy
1,Monday,0.030199708
1,Tuesday,0.03555772
1,Wednesday,0.132976132
1,Thursday,0.188017535
1,Friday,0.202143205
1,Saturday,0.020944959
1,Sunday,0.027764247
2,Monday,0.057963955
2,Tuesday,0.153433999
2,Wednesday,0.238188018
2,Thursday,0.180711154
2,Friday,0.188017535
2,Saturday,0.09936678
2,Sunday,0.011203117
3,Monday,0.007306381
3,Tuesday,0.055528495
3,Wednesday,0.863614223
3,Thursday,0.854846566
3,Friday,0.883584998
3,Saturday,0.617632733
3,Sunday,0.054554311
4,Monday,0.102776425
4,Tuesday,0.891378471
4,Wednesday,0.879201169
4,Thursday,0.8037019
4,Friday,0.871894788
4,Saturday,0.689235265
4,Sunday,0.071602533
5,Monday,0.049196298
5,Tuesday,0.88650755
5,Wednesday,0.935216756
5,Thursday,0.878226985
5,Friday,0.83925962
5,Saturday,0.727228446
5,Sunday,0.053093035
6,Monday,0.038967365
6,Tuesday,0.902581588
6,Wednesday,0.890891378
6,Thursday,0.887968826
6,Friday,0.907939601
6,Saturday,0.754505602
6,Sunday,0.09936678
7,Monday,0.056989771
7,Tuesday,0.816366293
7,Wednesday,0.877739893
7,Thursday,0.856794934
7,Friday,0.85094983
7,Saturday,0.707257672
7,Sunday,0.077447638
8,Monday,0.408183147
8,Tuesday,0.869459328
8,Wednesday,0.859230395
8,Thursday,0.88650755
8,Friday,0.924987823
8,Saturday,0.765708719
8,Sunday,0.093521676
9,Monday,0.071115441
9,Tuesday,0.989283975
9,Wednesday,0.980516318
9,Thursday,0.963468095
9,Friday,0.948368242
9,Saturday,0.790550414
9,Sunday,0.079396006
10,Monday,0.064296152
10,Tuesday,0.968339016
10,Wednesday,0.948368242
10,Thursday,0.977106673
10,Friday,0.924987823
10,Saturday,0.712615684
10,Sunday,0.030199708
11,Monday,0.03555772
11,Tuesday,0.183146615
11,Wednesday,0.146127618
11,Thursday,0.145153434
11,Friday,0.137359961
11,Saturday,0.146127618
11,Sunday,0.01899659
12,Monday,0.05211885
12,Tuesday,0.941548953
12,Wednesday,0.883097906
12,Thursday,0.901607404
12,Friday,0.941548953
12,Saturday,0.732586459
12,Sunday,0.079396006
13,Monday,0.028738432
13,Tuesday,0.927910375
13,Wednesday,0.929858743
13,Thursday,0.921091086
13,Friday,0.909400877
13,Saturday,0.846078909
13,Sunday,0.201656113
14,Monday,0.039454457
14,Tuesday,0.923526547
14,Wednesday,0.993180711
14,Thursday,0.968826108
14,Friday,0.970287384
14,Saturday,0.707257672
14,Sunday,0.331709693
15,Monday,0.042864101
15,Tuesday,0.98100341
15,Wednesday,0.981977594
15,Thursday,0.911836337
15,Friday,0.902581588
15,Saturday,0.754992694
15,Sunday,0.049196298
16,Monday,0.015586946
16,Tuesday,0.893326839
16,Wednesday,1
16,Thursday,0.924500731
16,Friday,0.963468095
16,Saturday,0.717486605
16,Sunday,0.135898685
17,Monday,0.051144666
17,Tuesday,0.864101315
17,Wednesday,0.863614223
17,Thursday,0.883097906
17,Friday,0.941548953
17,Saturday,0.798343887
17,Sunday,0.46566001
18,Monday,0.071115441
18,Tuesday,0.904042864
18,Wednesday,0.921091086
18,Thursday,0.902581588
18,Friday,0.960058451
18,Saturday,0.805650268
18,Sunday,0.089624939
19,Monday,0.070141257
19,Tuesday,0.955674623
19,Wednesday,0.977593765
19,Thursday,0.876765709
19,Friday,0.818801754
19,Saturday,0.910375061
19,Sunday,0.72820263
20,Monday,-0.037506089
20,Tuesday,0.27666829
20,Wednesday,0.295177789
20,Thursday,0.37116415
20,Friday,0.32148076
20,Saturday,0.277642474
20,Sunday,0.006332197
