Facility,Occupancy Type,Month,Date,Time,Day,Occupancy,Temperature max,Temperature min,Maximum Heat Index,Minimum Wind Chill Index,Rain,Raining type,Temperature
Boyd House,Transient,January,01 01 2017,9:06 AM,Sun,8,61.57,31.6,-996,26.96,0,No rain,< 47
Boyd House,Transient,January,01 01 2017,10:14 AM,Sun,7,61.57,31.6,-996,26.96,0,No rain,< 47
Boyd House,Transient,January,01 01 2017,11:19:39 AM,Sun,7,61.57,31.6,-996,26.96,0,No rain,< 47
Boyd House,Transient,January,01 01 2017,12:26:05 PM,Sun,6,61.57,31.6,-996,26.96,0,No rain,< 47
Boyd House,Transient,January,01 01 2017,1:30:52 PM,Sun,5,61.57,31.6,-996,26.96,0,No rain,< 47
Boyd House,Transient,January,01 01 2017,2:34:55 PM,Sun,5,61.57,31.6,-996,26.96,0,No rain,< 47
Boyd House,Transient,January,01 01 2017,3:39:02 PM,Sun,4,61.57,31.6,-996,26.96,0,No rain,< 47
Boyd House,Transient,January,01 01 2017,4:44:03 PM,Sun,4,61.57,31.6,-996,26.96,0,No rain,< 47
Boyd House,Transient,January,01 02 2017,8:25:49 AM,Mon,1,69.98,40.29,-996,41.48,0.01,Rain,< 57
Boyd House,Transient,January,01 02 2017,9:34:18 AM,Mon,1,69.98,40.29,-996,41.48,0.01,Rain,< 57
Boyd House,Transient,January,01 02 2017,10:43:53 AM,Mon,3,69.98,40.29,-996,41.48,0.01,Rain,< 57
Boyd House,Transient,January,01 02 2017,11:50:43 AM,Mon,3,69.98,40.29,-996,41.48,0.01,Rain,< 57
Boyd House,Transient,January,01 02 2017,1:00:25 PM,Mon,4,69.98,40.29,-996,41.48,0.01,Rain,< 57
Boyd House,Transient,January,01 02 2017,2:08:22 PM,Mon,2,69.98,40.29,-996,41.48,0.01,Rain,< 57
Boyd House,Transient,January,01 02 2017,3:15:39 PM,Mon,4,69.98,40.29,-996,41.48,0.01,Rain,< 57
Boyd House,Transient,January,01 02 2017,4:23:45 PM,Mon,7,69.98,40.29,-996,41.48,0.01,Rain,< 57
Boyd House,Transient,January,01 03 2017,8:36:18 AM,Tue,8,45.85,27.1,-996,15.3,0,No rain,< 47
Boyd House,Transient,January,01 03 2017,9:36:33 AM,Tue,10,45.85,27.1,-996,15.3,0,No rain,< 47
Boyd House,Transient,January,01 03 2017,10:45:15 AM,Tue,14,45.85,27.1,-996,15.3,0,No rain,< 47
Boyd House,Transient,January,01 03 2017,11:54:08 AM,Tue,14,45.85,27.1,-996,15.3,0,No rain,< 47
Boyd House,Transient,January,01 03 2017,1:01:56 PM,Tue,10,45.85,27.1,-996,15.3,0,No rain,< 47
Boyd House,Transient,January,01 03 2017,2:11:05 PM,Tue,9,45.85,27.1,-996,15.3,0,No rain,< 47
Boyd House,Transient,January,01 03 2017,3:18:57 PM,Tue,8,45.85,27.1,-996,15.3,0,No rain,< 47
Boyd House,Transient,January,01 03 2017,4:28:57 PM,Tue,12,45.85,27.1,-996,15.3,0,No rain,< 47
Boyd House,Transient,January,01 04 2017,8:05:54 AM,Wed,4,36.25,20.72,-996,9.19,0,No rain,< 47
Boyd House,Transient,January,01 04 2017,9:27:54 AM,Wed,11,36.25,20.72,-996,9.19,0,No rain,< 47
Boyd House,Transient,January,01 04 2017,10:35:14 AM,Wed,13,36.25,20.72,-996,9.19,0,No rain,< 47
Boyd House,Transient,January,01 04 2017,11:43:28 AM,Wed,9,36.25,20.72,-996,9.19,0,No rain,< 47
Boyd House,Transient,January,01 04 2017,12:51:40 PM,Wed,8,36.25,20.72,-996,9.19,0,No rain,< 47
Boyd House,Transient,January,01 04 2017,1:59:27 PM,Wed,7,36.25,20.72,-996,9.19,0,No rain,< 47
Boyd House,Transient,January,01 04 2017,3:07:42 PM,Wed,8,36.25,20.72,-996,9.19,0,No rain,< 47
Boyd House,Transient,January,01 04 2017,4:15:59 PM,Wed,7,36.25,20.72,-996,9.19,0,No rain,< 47
Boyd House,Transient,January,01 05 2017,8:36:00 AM,Thu,6,25.53,16.05,-996,0.89,0,No rain,< 47
Boyd House,Transient,January,01 05 2017,9:45:36 AM,Thu,8,25.53,16.05,-996,0.89,0,No rain,< 47
Boyd House,Transient,January,01 05 2017,10:52:01 AM,Thu,11,25.53,16.05,-996,0.89,0,No rain,< 47
Boyd House,Transient,January,01 05 2017,12:00:07 PM,Thu,12,25.53,16.05,-996,0.89,0,No rain,< 47
Boyd House,Transient,January,01 05 2017,1:06:40 PM,Thu,11,25.53,16.05,-996,0.89,0,No rain,< 47
Boyd House,Transient,January,01 05 2017,2:15:18 PM,Thu,13,25.53,16.05,-996,0.89,0,No rain,< 47
Boyd House,Transient,January,01 05 2017,3:23:31 PM,Thu,12,25.53,16.05,-996,0.89,0,No rain,< 47
Boyd House,Transient,January,01 05 2017,4:32:41 PM,Thu,12,25.53,16.05,-996,0.89,0,No rain,< 47
Boyd House,Transient,January,01 06 2017,9:02:19 AM,Fri,1,17.81,3.4,-996,-3.72,0,No rain,< 47
Boyd House,Transient,January,01 06 2017,10:12:35 AM,Fri,2,17.81,3.4,-996,-3.72,0,No rain,< 47
Boyd House,Transient,January,01 06 2017,11:22:17 AM,Fri,3,17.81,3.4,-996,-3.72,0,No rain,< 47
Boyd House,Transient,January,01 06 2017,12:30:53 PM,Fri,3,17.81,3.4,-996,-3.72,0,No rain,< 47
Boyd House,Transient,January,01 06 2017,1:39:52 PM,Fri,2,17.81,3.4,-996,-3.72,0,No rain,< 47
Boyd House,Transient,January,01 06 2017,2:47:32 PM,Fri,3,17.81,3.4,-996,-3.72,0,No rain,< 47
Boyd House,Transient,January,01 06 2017,3:55:28 PM,Fri,4,17.81,3.4,-996,-3.72,0,No rain,< 47
Boyd House,Transient,January,01 07 2017,8:10:31 AM,Sat,5,17.81,3.4,-996,-3.72,0,No rain,< 47
Boyd House,Transient,January,01 07 2017,9:17:36 AM,Sat,6,34.49,-2.2,-996,-8.22,0.07,Rain,< 47
Boyd House,Transient,January,01 07 2017,10:25:04 AM,Sat,9,34.49,-2.2,-996,-8.22,0.07,Rain,< 47
Boyd House,Transient,January,01 07 2017,11:30:10 AM,Sat,9,34.49,-2.2,-996,-8.22,0.07,Rain,< 47
Boyd House,Transient,January,01 07 2017,12:37:03 PM,Sat,10,34.49,-2.2,-996,-8.22,0.07,Rain,< 47
Boyd House,Transient,January,01 07 2017,1:45:13 PM,Sat,7,34.49,-2.2,-996,-8.22,0.07,Rain,< 47
Boyd House,Transient,January,01 07 2017,2:53:54 PM,Sat,8,34.49,-2.2,-996,-8.22,0.07,Rain,< 47
Boyd House,Transient,January,01 07 2017,3:58:30 PM,Sat,14,34.49,-2.2,-996,-8.22,0.07,Rain,< 47
Boyd House,Transient,January,01 08 2017,8:47:08 AM,Sun,4,34.49,-2.2,-996,-8.22,0.07,Rain,< 47
Boyd House,Transient,January,01 08 2017,9:55:36 AM,Sun,10,45.17,19.73,-996,10.97,0.02,Rain,< 47
Boyd House,Transient,January,01 08 2017,11:02:08 AM,Sun,12,45.17,19.73,-996,10.97,0.02,Rain,< 47
Boyd House,Transient,January,01 08 2017,12:08:05 PM,Sun,14,45.17,19.73,-996,10.97,0.02,Rain,< 47
Boyd House,Transient,January,01 08 2017,1:15:03 PM,Sun,7,45.17,19.73,-996,10.97,0.02,Rain,< 47
Boyd House,Transient,January,01 08 2017,2:20:56 PM,Sun,7,45.17,19.73,-996,10.97,0.02,Rain,< 47
Boyd House,Transient,January,01 08 2017,3:26:29 PM,Sun,7,45.17,19.73,-996,10.97,0.02,Rain,< 47
Boyd House,Transient,January,01 08 2017,4:32:01 PM,Sun,6,45.17,19.73,-996,10.97,0.02,Rain,< 47
Boyd House,Transient,January,01 09 2017,8:28:50 AM,Mon,8,59.4,30.93,-996,22.21,0,No rain,< 47
Boyd House,Transient,January,01 09 2017,9:29:27 AM,Mon,13,59.4,30.93,-996,22.21,0,No rain,< 47
Boyd House,Transient,January,01 09 2017,10:40:09 AM,Mon,18,59.4,30.93,-996,22.21,0,No rain,< 47
Boyd House,Transient,January,01 09 2017,11:48:38 AM,Mon,18,59.4,30.93,-996,22.21,0,No rain,< 47
Boyd House,Transient,January,01 09 2017,12:56:50 PM,Mon,20,59.4,30.93,-996,22.21,0,No rain,< 47
Boyd House,Transient,January,01 09 2017,2:03:18 PM,Mon,20,59.4,30.93,-996,22.21,0,No rain,< 47
